"Отметка времени","Мальчик или девочка?","Как часто тебя били в детстве?","Оцените ваш уровень вегетарианца по 5-ти бальной шкале","Что такое два.ч?","Твоя ориентация?","Погулять вечером после тяжкого рабочего дня, или посычевать дома?","Как часто играешь в игры?","Сериалы?","А книги? ","Вы таки антисемит? ","Какой предмет ближе всего по душе?","Как вы относитесь к аннексии Крыма?","Владимир Путин - ","Как хорошо вы знаете английский?","Было ли раньше лучше? ","А какие жанры фильмов любишь? "
"2019/06/10 9:50:42 AM GMT+5","Девочка","Не били","5","Не знаю","Гетеро","Гулять","2","5","6","Нет","Литература","Отрицательно","Власть нельзя оскорблять))","НЭЙТИВ ИНГЛИШ СПИКЕР","Нет","Детектив;Аниме;Комедия;Фантастика"
"2019/06/10 10:18:36 AM GMT+5","Мальчик","Разве что по делу","2","Паблик в вк","Гетеро","Гулять","2","2","1","Нет","Физика","Мне всё равно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Боевик;Комедия;Фантастика"
"2019/06/10 11:00:05 AM GMT+5","Девочка","Разве что по делу","0","Паблик в вк","Гетеро","Сычевать","3","7","1","Нет","Иностранные языки","Мне всё равно","...","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Комедия;Фантастика"
"2019/06/10 11:02:32 AM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Сычевать","0","7","7","Нет","Литература","Мне всё равно","Ква","Нормально","Нет","Аниме;Фильм ужасов;Фантастика"
"2019/06/10 11:02:49 AM GMT+5","Девочка","Не били","3","Не знаю","Гетеро","Сычевать","0","3","4","Нет","Матеша","Мне всё равно","Политик, лидер и боец","Оригатоё гайзаймас","Нет","Исторический фильм"
"2019/06/10 11:05:40 AM GMT+5","Девочка","Не били","1","Не знаю","Гетеро","Гулять","0","3","5","Нет","Литература","Положительно","Политик, лидер и боец","Отлично","Нет","Драма;Комедия;Мелодрама;Фильм ужасов"
"2019/06/10 11:10:37 AM GMT+5","Девочка","Разве что по делу","0","Не знаю","Гетеро","Сычевать","0","2","5","Нет","Литература","Мне всё равно","Молодец","Нормально","Нет","Комедия"
"2019/06/10 11:20:21 AM GMT+5","Девочка","Разве что по делу","2","Не знаю","Гетеро","Гулять","0","5","5","Нет","Литература","Мне всё равно","мало озабочен жизнью народа","Нормально","Нет","Комедия;Трагедия;Фантастика"
"2019/06/10 11:22:51 AM GMT+5","Мальчик","Не били","1","Паблик в вк","Гетеро","Гулять","3","3","2","Нет","Литература","Мне всё равно","Владимир Путин","Нормально","Нет","Фантастика"
"2019/06/10 11:50:31 AM GMT+5","Мальчик","Часто","1","Лучшая борда рунета","Би","Сычевать","7","5","3","Я просто боюсь евреев","Информатика","Отрицательно","Сказочный.. выдумщик","Чуть лучше, чем ничего","Нет","Боевик;Комедия;Фантастика"
"2019/06/10 12:06:53 PM GMT+5","Девочка","Разве что по делу","0","Не знаю","Би","Сычевать","4","7","3","Нет","Информатика","Мне всё равно","********* *******","Нормально","Нет","Аниме;Фильм ужасов"
"2019/06/10 12:11:20 PM GMT+5","Девочка","Разве что по делу","2","Не знаю","Гетеро","Гулять","0","7","7","Нет","Литература","Мне всё равно","Меня посадят, если я отвечу ","Нормально","Нет","Детектив;Драма;Комедия;Мелодрама;Исторический фильм;Фантастика"
"2019/06/10 12:13:57 PM GMT+5","Мальчик","Разве что по делу","1","Лучшая борда рунета","Гетеро","Сычевать","6","0","1","Я просто боюсь евреев","Информатика","Отрицательно","вор","Оригатоё гайзаймас","А колбаса какая, колбаса...","Детектив;Аниме;Фильм ужасов;Фантастика"
"2019/06/10 12:42:26 PM GMT+5","Мальчик","Разве что по делу","3","Паблик в вк","Гетеро","Гулять","2","1","5","Нет","Информатика","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Детектив;Комедия;Фантастика"
"2019/06/10 12:44:59 PM GMT+5","Девочка","Не били","4","Не знаю","Гетеро","Гулять","0","7","7","Нет","Матеша","Мне всё равно","Молодец","Хорошо","Нет","Фильм ужасов;Фантастика"
"2019/06/10 12:48:37 PM GMT+5","Мальчик","Разве что по делу","2","Паблик в вк","Гетеро","Сычевать","4","3","2","Нет","Информатика","Положительно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Боевик;Детектив;Аниме;Комедия;Исторический фильм;Фантастика"
"2019/06/10 12:48:49 PM GMT+5","Мальчик","Разве что по делу","0","Ненавижу Абу","Гетеро","Сычевать","1","4","2","Да","Литература","Положительно","красавчик","Нормально","Нет","Трагедия"
"2019/06/10 12:54:08 PM GMT+5","Мальчик","Не били","0","Лучшая борда рунета","Гетеро","Гулять","1","1","1","Нет","Информатика","Мне всё равно","-","Нормально","Нет","Боевик;Детектив"
"2019/06/10 1:25:04 PM GMT+5","Девочка","Часто","1","Паблик в вк","Гетеро","Сычевать","3","5","6","Нет","Иностранные языки","Мне всё равно","... ","Нормально","Нет","Боевик;Детектив;Драма;Комедия;Исторический фильм;Фантастика"
"2019/06/10 1:27:31 PM GMT+5","Мальчик","Разве что по делу","1","Лучшая борда рунета","Гетеро","Сычевать","6","4","5","Нет","История","Мне всё равно","Политик, лидер и боец","Нормально","Нет","Боевик;Детектив;Комедия;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 1:59:19 PM GMT+5","Мальчик","Не били","1","Паблик в вк","Гетеро","Гулять","3","4","2","Нет","История","Отрицательно","Промолчу","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Комедия;Исторический фильм;Фильм ужасов;Фантастика"
"2019/06/10 2:06:00 PM GMT+5","Мальчик","Разве что по делу","2","Паблик в вк","Би","Сычевать","4","2","1","Нет","История","Мне всё равно","Свою страну с колен поднял","Нормально","А колбаса какая, колбаса...","Боевик;Детектив;Аниме;Комедия;Исторический фильм;Фантастика"
"2019/06/10 2:06:07 PM GMT+5","Мальчик","Разве что по делу","1","Паблик в вк","Гетеро","Сычевать","1","5","2","Нет","Химия","Отрицательно","Молодец","Отлично","Нет","Боевик;Драма;Комедия;Фантастика"
"2019/06/10 2:08:55 PM GMT+5","Девочка","Не били","2","Не знаю","Гетеро","Сычевать","4","2","6","Нет","История","Мне всё равно","Президент","Нормально","Нет","Боевик;Детектив;Комедия;Исторический фильм"
"2019/06/10 2:11:17 PM GMT+5","Мальчик","Не били","0","Не знаю","Гетеро","Сычевать","5","4","5","Нет","Химия","Положительно","Молодец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Комедия;Исторический фильм;Фантастика"
